YawRate  deg/s,RR_Iq  A,RR_Id  A,RR_Vq  V,RR_Vd  V,AccelZ  g,AccelY  g,AccelX  g,YawAngle  rad,RollAngle  rad,PitchAngle  rad,WaterPump_DC  %,RRMotorTorqueReq  Nm,RLMotorTorqueReq  Nm,FLMotorTorqueReq  Nm,FRMotorTorqueReq  Nm,RRMotorPower  kW,RLMotorPower  kW,FRMotorPower  kW,FLMotorPower  kW,RRWheelTorqueReq  Nm,RLWheelTorqueReq  Nm,FRWheelTorqueReq  Nm,FLWheelTorqueReq  Nm,Pedal_Req  Nm,RRInverterTemp  C,RRMotorTemp  C,RLMotorSpeed  rpm,RLInverterTemp  C,RLMotorTemp  C,RRMotorSpeed  rpm,VehicleSpeed  mph,APPS_Arb  %,GPS_Speed  mph,R_BrakePress  kPa,F_BrakePress  kPa,Brake_Flag  boolean,RRNormalForce  N,RLNormalForce  N,FRNormalForce  N,FLNormalForce  N,MinCellTemp  C,MaxCellTemp  C,AvgCellTemp  C,PackSOC  %,LVBattery  V,Heading  deg ,AccumulatorCurrentLimit  A,PackVoltage  V,AccumulatorCurrentDraw  A
-0.6841182364729432,-2.142683544303794,4.028101265822784,0.0,0.0,9.75,-0.04550813008130093,0.23,-0.5156622,1796.1660342,15.5271618,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,56.0,0.0,0.0,202.0,293.7882428001772,-0.20585733274257878
0.07264529058116476,-2.092508038585209,3.992508038585209,0.0,0.0,9.744679170779861,-0.03,0.20467917077986178,0.0854207733596445,1796.1087384,15.5271618,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,56.0,0.0,0.0,202.0,293.772289765175,-0.25903411608329646
0.625,-1.627377521613833,3.0673006724303553,0.0,0.0,9.76,-0.03748357756442648,0.22496715512885296,-0.1145916,1796.1087384,15.56802656077266,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,56.0,0.0,0.0,204.0,293.76,-0.30000000000000004
0.5010020040079837,-1.7537919999999991,3.636719999999997,0.0,0.0,9.748817733990148,-0.03776354679802953,0.24881773399014767,-0.7028679748892162,1796.1087384,15.5844576,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,56.0,0.0,0.0,204.0,293.76,-0.30000000000000004
-1.0654040404040315,-2.022177215189872,3.756202531645571,0.0,0.0,9.74772934617334,-0.03,0.23772934617334007,-0.41556498499741346,1796.0514426,15.6417534,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,56.0,0.0,0.0,204.0,293.76,-0.30000000000000004
-0.8040540540540739,-2.297613445378146,3.8297815126050434,0.0,0.0,9.73,-0.04491358024691356,0.2274567901234568,0.4471674183613025,1796.0514426,15.6417534,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,56.0,0.0,0.0,204.0,293.76,-0.30000000000000004
-0.5552763819095397,-1.5512751677852359,2.808322147651011,0.0,0.0,9.737767630644344,-0.04776763064434299,0.21,0.8021412,1796.0081220940162,15.685073905983774,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.94502219128013,0.0,0.0,204.0,293.7624843777897,-0.22546866630958756
0.0,-2.1088279301745625,3.973715710723188,0.0,0.0,9.747454545454545,-0.03254545454545463,0.22254545454545463,0.4837698390361466,1795.9941468,15.699049200000001,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.81557305717518,0.0,0.0,204.0,293.765140153544,-0.14579539367970018
1.75,-1.709263336155802,3.3908890770533464,0.0,0.0,9.747506361323156,-0.037506361323155143,0.2350127226463103,0.2291832,1795.9941468,15.756345,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.685210164476544,0.0,0.0,204.0,293.7678146759507,-0.0655597214783076
-0.625,-1.6726436781609189,3.332413793103446,0.0,0.0,9.745158102766798,-0.032420948616600824,0.2375790513833992,1.0192879523425675,1795.9521779873048,15.756345,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,-12.0,0.0,25.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,580.0,580.0,-5.0,25.0,19.0,55.55389000087025,0.0,0.0,206.0,293.77,0.0
